8,6
12,8
8,6
8,6
6,4
10,8
6,6
6,6
12,10
8,8
8,10
8,8
8,6
12,10
8,10
8,6
8,6
6,6
6,6
12,10
8,6
6,6
8,6
8,6
6,6
10,8
6,4
6,8
8,6
8,8
6,8
10,10
8,8
10,8
12,12
10,8
6,6
6,6
6,6
12,10
8,10
10,8
8,8
8,6
8,12
8,6
8,6
6,6
14,8
8,6
8,10
8,8
10,12
8,6
6,6
12,8
10,10
8,8
12,12
8,6
8,8
10,12
8,8
8,8
8,8
10,8
8,8
18,14
8,8
8,6
6,6
8,6
6,6
8,8
8,8
6,8
6,6
16,14
8,8
6,6
6,6
8,12
8,6
8,6
8,8
6,6
12,8
6,6
6,4
6,6
8,6
6,8
8,8
6,6
6,6
12,8
6,6
12,10
6,6
12,10
8,8
6,8
6,10
8,8
6,4
10,8
8,6
6,6
8,8
10,10
10,10
10,10
8,6
8,8
8,6
12,8
6,6
8,6
6,6
10,8
6,6
8,6
8,12
8,6
14,10
10,8
12,12
8,6
10,8
8,6
10,8
14,12
12,10
6,8
8,6
8,8
6,6
6,6
14,12
8,6
4,4
6,6
10,8
12,10
12,6
8,12
8,10
8,8
8,8
8,6
16,8
6,8
16,12
8,8
8,6
8,8
6,6
6,6
6,4
6,6
8,6
8,6
6,6
8,6
8,6
12,10
10,6
6,6
16,10
14,12
8,6
8,8
10,8
6,6
12,10
6,8
6,4
6,6
6,6
8,6
6,4
4,4
6,6
8,8
8,8
8,10
10,8
8,6
6,6
8,6
8,8
12,10
8,6
8,8
6,6
8,6
8,8
8,8
6,6
6,4
8,8
6,6
10,8
10,10
6,6
6,6
8,6
10,8
16,12
14,10
6,10
6,6
16,16
10,8
14,10
8,6
8,12
8,8
14,12
6,6
8,8
8,6
12,10
8,6
8,6
12,8
8,6
8,10
10,6
14,10
8,6
8,6
8,8
8,8
10,6
8,6
10,10
6,6
8,6
16,12
6,6
8,6
8,6
6,4
6,6
10,10
6,6
8,4
8,6
8,10
8,6
6,6
10,8
6,6
10,8
8,8
8,8
6,4
10,8
10,6
8,8
14,10
6,8
6,4
6,4
8,8
14,10
10,10
16,12
8,8
8,8
8,6
8,6
8,6
12,10
6,10
6,6
14,14
8,8
8,6
6,6
12,10
8,6
8,6
8,6
8,10
10,6
6,6
6,6
8,10
8,6
12,10
12,12
12,12
6,6
10,8
12,8
10,10
6,6
8,8
10,10
8,10
6,6
12,12
6,6
8,6
10,10
10,8
10,8
6,4
8,6
16,8
8,8
8,8
8,6
8,8
8,8
6,6
8,8
8,6
6,6
8,8
18,14
6,4
6,6
8,8
6,6
6,6
8,10
8,8
8,8
6,4
6,10
14,14
12,12
6,6
8,6
8,6
6,6
6,6
8,8
6,6
14,10
8,6
6,6
8,8
6,8
8,8
8,6
8,8
6,6
10,6
8,6
8,6
6,6
10,10
6,4
6,6
6,6
8,8
8,10
6,6
6,6
6,6
18,12
6,8
6,6
10,14
10,6
10,10
6,6
8,6
8,6
8,6
6,4
8,8
6,8
8,6
10,8
8,8
10,8
8,10
10,8
10,10
8,8
10,10
10,8
8,6
8,6
8,6
6,4
6,6
8,8
6,6
12,10
8,6
8,6
8,6
8,6
6,8
8,6
8,8
8,10
6,6
8,6
12,12
6,6
14,8
8,8
8,6
6,8
14,10
14,10
8,8
8,6
6,6
8,8
8,6
8,8
6,6
14,12
6,8
6,8
4,4
8,10
8,8
8,6
8,8
8,10
8,10
8,8
8,8
6,6
8,4
6,6
8,8
8,6
6,8
10,10
8,6
